SUBSTANCECOMPONENT_ID,SUB_COM_ID,SUB_ID,COM_ID,TRX_ID,SUB_NAME,SUB_ECSUBINVENTENTRYREF,SUB_CASNUMBER,SUB_DESCRIPTION,SUBPARAM_ID,SUBPARAM_CODE,SUBPARAMNAME,SUB_TYPE,QUALIFIER_ID,QUALIFIER_CODE,QUALIFIER,COMP_VALUE,COM_NAME,COM_ECSUBINVENTENTRYREF,COM_CASNUMBER,IUPACNAME,COMPARAM_ID,COMPARAM_CODE,COMPARAMNAME,MOLECULARFORMULA,SMILESNOTATION,INCHI,COM_TYPE,COM_STRUCTURESHOWN,SMILESNOTATIONSOURCE,INCHI_NOTATIONSOURCE
370795,11,5,494,40611,Iron (total),231-096-4,7439-89-6,"Iron is a metal with an atomic mass of 55.8. It is present in biological systems in one of two oxidation states, and redox interconversions of the ferrous (Fe2+) and ferric (Fe3+) forms are central to the biological properties of this mineral. Iron is an essential constituent of oxygen carriers, such as haemoglobin and myoglobin, and the iron contained within haem is essential for the redox reactions of numerous cytochromes.",17,RF-00000164-CHE,Iron (Fe),"group, open",9,QU09A,not part of group assessment,,Iron(II),,15438-31-0,iron(2+),23839,RF-00009220-PAR,Iron(II),Fe+2,[Fe+2],InChI=1S/Fe/q+2,inorganic,,,
370796,12,5,495,40611,Iron (total),231-096-4,7439-89-6,"Iron is a metal with an atomic mass of 55.8. It is present in biological systems in one of two oxidation states, and redox interconversions of the ferrous (Fe2+) and ferric (Fe3+) forms are central to the biological properties of this mineral. Iron is an essential constituent of oxygen carriers, such as haemoglobin and myoglobin, and the iron contained within haem is essential for the redox reactions of numerous cytochromes.",17,RF-00000164-CHE,Iron (Fe),"group, open",9,QU09A,not part of group assessment,,Iron(III),,20074-52-6,iron(3+),23840,RF-00009221-PAR,Iron(III),Fe+3,[Fe+3],InChI=1S/Fe/q+3,inorganic,,,
370797,13,6,496,40611,Nickel (total),231-111-4,7440-02-0,"Nickel occurs naturally in soil, water, plants and animals. In its compounds, it has normally the valency state of +2, but valency states of 0, +1, +3, and +4 also exist.",24,RF-00000182-CHE,Nickel (Ni),"group, open",9,QU09A,not part of group assessment,,Nickel(II),,,,24988,RF-00010366-PAR,Nickel(II),,,,inorganic,,,
370798,14,6,497,40611,Nickel (total),231-111-4,7440-02-0,"Nickel occurs naturally in soil, water, plants and animals. In its compounds, it has normally the valency state of +2, but valency states of 0, +1, +3, and +4 also exist.",24,RF-00000182-CHE,Nickel (Ni),"group, open",9,QU09A,not part of group assessment,,Nickel chloride,231-743-0,7718-54-9,,23309,RF-00008689-PAR,Nickel chloride,Cl2Ni,Cl[Ni]Cl,InChI=1S/2ClH.Ni/h2*1H;/q;;+2/p-2,inorganic,,,
370799,15,6,498,40611,Nickel (total),231-111-4,7440-02-0,"Nickel occurs naturally in soil, water, plants and animals. In its compounds, it has normally the valency state of +2, but valency states of 0, +1, +3, and +4 also exist.",24,RF-00000182-CHE,Nickel (Ni),"group, open",9,QU09A,not part of group assessment,,Nickel sulphate,232-104-9,7786-81-4,nickel(2+) sulfate,23166,RF-00008546-PAR,Nickel sulphate,NiO4S,[O-]S(=O)(=O)[O-].[Ni+2],"InChI=1S/Ni.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2",inorganic,,,
370800,16,7,7,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,80.0000000000,Diacylglycerols,,,1-(hexadecanoyloxy)-3-hydroxypropan-2-yl (9E)-octadec-9-enoate,23608,RF-00008988-PAR,Diacylglycerols,C37H70O5,CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC/C=C/CCCCCCCC,"InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,35,38H,3-16,19-34H2,1-2H3/b18-17+",organic,,,
370801,17,7,8,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,20.0000000000,Triacylglycerols,,,,23952,RF-00009333-PAR,Triacylglycerols,,C(C(COC=O)OC=O)OC=O,"InChI=1S/C6H8O6/c7-3-10-1-6(12-5-9)2-11-4-8/h3-6H,1-2H2",organic,,,
370802,18,7,9,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,5.0000000000,Monoacylglycerols,,,,23954,RF-00009335-PAR,Monoacylglycerols,C4H8O4,C(C(COC=O)O)O,"InChI=1S/C4H8O4/c5-1-4(7)2-8-3-6/h3-5,7H,1-2H2",organic,,,
370803,19,7,10,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,0.0250000000,Ascorbyl palmitate,205-305-4,137-66-6,"[(2S)-2-[(2R)-3,4-dihydroxy-5-oxo-2H-furan-2-yl]-2-hydroxyethyl] hexadecanoate",15802,RF-00001298-PAR,Ascorbyl palmitate,C22H38O7,[C@@H]1(OC(=O)C(=C1O)O)[C@H](COC(=O)CCCCCCCCCCCCCCC)O,"InChI=1S/C22H38O7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(24)28-16-17(23)21-19(25)20(26)22(27)29-21/h17,21,23,25-26H,2-16H2,1H3/t17-,21+/m0/s1",organic,,,
370804,20,7,11,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,0.0750000000,Tocopherols,,,,14178,RF-00000413-NTR,"tocopherols, total",,,,organic,,,
370805,21,7,12,40611,Enova oil,,,"The Enova oil contains at least 80% diacylglycerols (DAG), up to 20% triacylglycerols (TAG), up to 5% monoacylglycerols (MAG), plus trace amounts (approximately 0.2%) of antioxidants. The DAG component is produced as a mixture of 1,3-DAG (approximately 70%) and 1,2-DAG (approximately 30%). The fatty acid side chains, derived from edible plant oils, are esterified randomly into these positions. The main fatty acid components of DAG are oleic acid (C18:1) (20-65% by weight), linoleic acid (C18:2) (15-65%) and linolenic acid (C18:3) (about 15%) derived from either soybean (Glycine max) or rapeseed (Brassica campestris) oils. Saturated fatty acids (C16:0 and C18:0) are present at not more than 10%. Current levels of trans fatty acids are 2.8%. The enova oil also contains about 0.025% ascorbyl palmitate and about 0.075% mixed tocopherols. The phytosterol content ranged between 0.05 and 1.2% by weight.",24482,RF-00009861-PAR,Enova oil,mixture or formulation,2,QU02A,<=,1.2000000000,Phytosterols,,949109-75-5,,24014,RF-00009393-PAR,Phytosterols,,,,organic,,,
370806,22,8,13,40611,Betaine,203-490-6,107-43-7,Betaine is present in most organisms. The principal physiologic role of betaine is as an osmolyte and methyl donor.,20802,RF-00006194-PAR,(trimethylammonio)acetate,single chemical entity,7,QU07A,as such,,Betaine,203-490-6,107-43-7,2-(trimethylazaniumyl)acetate,20802,RF-00006194-PAR,(trimethylammonio)acetate,C5H11NO2,C[N+](C)(C)CC(=O)[O-],"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",organic,,,
370807,23,9,14,40611,Fluoride,,,"Fluorine is a gaseous halogen with an atomic mass of 18.998. It is the most electronegative and reactive of all elements, therefore it occurs naturally only in ionic forms, fluorides, after reaction with metallic elements or with hydrogen. Fluorides are ubiquitous in air, water and the lithosphere.",71,RF-00000028-CHE,Fluoride,single chemical entity,7,QU07A,as such,,Fluoride,,,,71,RF-00000028-CHE,Fluoride,,,,inorganic,,,
370808,24,10,15,40611,Potassium (total),231-119-8,7440-09-7,"Potassium is widely distributed in the earth's crust, seawater as a mono-valent cation. It occurs naturally in the form of several mineral salts but does not occur as metallic potassium. Potassium in foods is associated with salts of weak organic acids. Various potassium salts, e.g. KCl, are used in many applications, amongst others as ingredients in foods (e.g. additives), food supplements and drugs, household chemicals etc.",161,RF-00000053-CHE,Potassium (K),"group, open",9,QU09A,not part of group assessment,,Potassium ion,,24203-36-9,potassium(1+),24504,RF-00009883-PAR,Potassium ion,K+,[K+],InChI=1S/K/q+1,inorganic,,,
370809,25,12,17,40611,Sodium (total),231-132-9,7440-23-5,"Sodium (Na) is a metal with an atomic mass of 23. It is found widely in nature and as a normal constituent of foods. It is added to foods, most frequently as sodium chloride (NaCl), common known as salt. Sodium is present in biological systems as the main cation in the extracellular space, acting to maintain extracellular volume and plasma osmolality.",37,RF-00000067-CHE,Sodium (Na),"group, open",9,QU09A,not part of group assessment,,Sodium ion,,,,24503,RF-00009882-PAR,Sodium ion,,,InChI=1S/Na/q+1,inorganic,,,
370810,26,13,18,40611,Chloride,,16887-00-6,"Chloride is found widely in nature and as a normal constituent of foods, generally as salts of sodium (NaCl) or potassium (KCl). Chloride is also added to food mainly as sodium chloride (commonly known as salt) or mixtures of sodium chloride and potassium chloride. Chloride is present in biological systems as the main anion in the extracellular space, acting to maintain extracellular volume, and ionic balance. It crosses cell membranes and is involved in the regulation of osmotic pressure, water balance and acid-base balance.",23800,RF-00009181-PAR,Chloride,single chemical entity,7,QU07A,as such,,Chloride,,16887-00-6,Chloride,23800,RF-00009181-PAR,Chloride,Cl-,[Cl-],InChI=1S/ClH/h1H/p-1,inorganic,,,
370811,27,14,19,40611,Alpha-tocopherol-containing oil suspension of lycopene (Blakeslea trispora),,,Lycopene is biosynthesised by the fungus Blakeslea trispora. It is a carotenoid with molecular mass of 536.85. The predominant lycopene isomer in the material is all-trans lycopene. The lycopene product is formulated into a 20% or 5% sunflower oil suspension with alpha-tocopherol at 1% of the lycopene level.,24319,RF-00009698-PAR,Alpha-tocopherol-containing oil suspension of lycopene (Blakeslea trispora),complex product: derived from botanical sources,14,QU14A,part of,,Lycopene,207-949-1,502-65-8,"(6E,8E,10E,12E,14E,16E,18E,20E,22E,24E,26E)-2,6,10,14,19,23,27, 31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene",13904,RF-00000175-ADD,Lycopene,C40H56,CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\\\\C)\\C)\\C)/C)/C)/C)C,"InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+",organic,,,
370812,28,14,20,40611,Alpha-tocopherol-containing oil suspension of lycopene (Blakeslea trispora),,,Lycopene is biosynthesised by the fungus Blakeslea trispora. It is a carotenoid with molecular mass of 536.85. The predominant lycopene isomer in the material is all-trans lycopene. The lycopene product is formulated into a 20% or 5% sunflower oil suspension with alpha-tocopherol at 1% of the lycopene level.,24319,RF-00009698-PAR,Alpha-tocopherol-containing oil suspension of lycopene (Blakeslea trispora),complex product: derived from botanical sources,14,QU14A,part of,,RRR-alpha-Tocopherol,200-412-2,59-02-9,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",13727,RF-00000029-ADD,Alpha-tocopherol,C29H50O2,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",organic,,,
370813,29,15,499,40611,Phosphorus (total),231-768-7,7723-14-0,"Phosphorus is an element of group 5 of the periodic table and has an atomic weight of 30.97. It is one of the most abundant elements on earth, most commonly found as the phosphate ion (PO43-), with phosphorus in its pentavalent form. Phosphorus (as phosphate) is an essential dietary constituent, involved in numerous physiological processes, such as the cell's energy cycle, regulation of the whole body acid-base balance, as component of the cell structure (as phospholipids) and of nucleotides and nucleic acids in DNA and RNA, in cell regulation and signalling by phosphorylation of catalytic proteins and as second messenger (cAMP).",73,RF-00000031-CHE,Phosphorus (P),"group, open",9,QU09A,not part of group assessment,,Disodium hydrogen phosphate,,7558-79-4,,19344,RF-00004755-PAR,Disodium phosphate,Na2HPO4,,,inorganic,,,
370815,31,17,501,40611,Tin (total),231-141-8,7440-31-5,"Tin is a metal of group 14 of the periodic table with an atomic weight of 118.71. It has 10 naturally occurring isotopes of atomic masses between 112 and 124 with abundances ranging from 0.34-32.97%. The oxides of tin are amphoteric, commonly forming stannous and stannic salts (oxidation state +2 and +4, respectively).Natural occurrence of tin in the metallic state is rare.",28,RF-00000193-CHE,Tin (Sn) (Total),"group, open",9,QU09A,not part of group assessment,,Tin(II),,,tin(2+),23841,RF-00009222-PAR,Tin(II),Sn+2,[Sn+2],InChI=1S/Sn/q+2,inorganic,,,
370816,32,17,502,40611,Tin (total),231-141-8,7440-31-5,"Tin is a metal of group 14 of the periodic table with an atomic weight of 118.71. It has 10 naturally occurring isotopes of atomic masses between 112 and 124 with abundances ranging from 0.34-32.97%. The oxides of tin are amphoteric, commonly forming stannous and stannic salts (oxidation state +2 and +4, respectively).Natural occurrence of tin in the metallic state is rare.",28,RF-00000193-CHE,Tin (Sn) (Total),"group, open",9,QU09A,not part of group assessment,,Tin(II) chloride,231-868-0,7772-99-8,dichlorotin,12406,RF-00000254-CHE,Tin (II) chloride,Cl2Sn,Cl[Sn]Cl,InChI=1S/2ClH.Sn/h2*1H;/q;;+2/p-2,inorganic,,,
370817,33,17,503,40611,Tin (total),231-141-8,7440-31-5,"Tin is a metal of group 14 of the periodic table with an atomic weight of 118.71. It has 10 naturally occurring isotopes of atomic masses between 112 and 124 with abundances ranging from 0.34-32.97%. The oxides of tin are amphoteric, commonly forming stannous and stannic salts (oxidation state +2 and +4, respectively).Natural occurrence of tin in the metallic state is rare.",28,RF-00000193-CHE,Tin (Sn) (Total),"group, open",9,QU09A,not part of group assessment,,Tin(IV) chloride,231-588-9,7646-78-8,tetrachlorostannane,12407,RF-00000255-CHE,Tin (IV) chloride,Cl4Sn,Cl[Sn](Cl)(Cl)Cl,InChI=1S/4ClH.Sn/h4*1H;/q;;;;+4/p-4,inorganic,,,
370818,34,19,1287,40611,Chia seeds and ground whole Chia seeds (Salvia hispanica L.),,,"Chia (Salvia hispanica L.) is a summer annual herbaceous plant belonging to the Labiatae family. Chia seeds contain 21% protein. Chia seeds have an oil content of approximately one third of their weight, about 60% of which is alpha-linolenic acid. Once the oil has been extracted from the seed, the material that remains contains 50-60% fibre. Chia seeds are also a rich source of vitamins B, calcium, phosphorous, potassium, zinc, and copper. Also, chia seeds contain natural antioxidants (chlorogenic acid, caffeic acid and flavanol glycosides).",16150,RF-00001655-PAR,Chia seeds and ground whole Chia seeds (Salvia hispanica L.),complex product: derived from botanical sources,7,QU07A,as such,,Chia seeds and ground whole Chia seeds (Salvia hispanica L.),,,,16150,RF-00001655-PAR,Chia seeds and ground whole Chia seeds (Salvia hispanica L.),,,,organic,,,
370819,35,20,8,40611,Lipid extract (Euphausia superba),,,This is an oil obtained by extraction of the crustacean Euphausia superba (Antarctic Krill) with acetone. Proteins and krill material are removed from the lipid extract by filtration. The acetone and residual water are removed by subsequent evaporation steps.,24324,RF-00009703-PAR,Lipid extract (Euphausia superba),complex product: derived from botanical sources,6,QU06A,ca.,37.0000000000,Triacylglycerols,,,,23952,RF-00009333-PAR,Triacylglycerols,,C(C(COC=O)OC=O)OC=O,"InChI=1S/C6H8O6/c7-3-10-1-6(12-5-9)2-11-4-8/h3-6H,1-2H2",organic,,,
370820,36,20,23,40611,Lipid extract (Euphausia superba),,,This is an oil obtained by extraction of the crustacean Euphausia superba (Antarctic Krill) with acetone. Proteins and krill material are removed from the lipid extract by filtration. The acetone and residual water are removed by subsequent evaporation steps.,24324,RF-00009703-PAR,Lipid extract (Euphausia superba),complex product: derived from botanical sources,6,QU06A,ca.,39.5000000000,Phospholipids,,,,23804,RF-00009185-PAR,Phospholipids,,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C40H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h38H,6-37H2,1-5H3/t38-/m1/s1",organic,,,
370821,37,21,24,40611,Ice Structuring Protein type III HPLC 12,,,"ISP type III was originally isolated from the ocean pout (Macrozoarces americanus) a coldwater fish found off the northeast coast of North America. There were 12 isoforms of the protein that could be separated by HPLC and ISP type III HPLC 12, a protein of 66 amino acids was selected for commercial application. This protein is specifically identified by accession number P19614 in the Swiss Prot database, has a molecular weight of 7.027 kDa, is not glycosylated, is heat stable and is stable over a pH range of 2-12. The production system is based on the fermentation of a genetically-modified strain of baker's yeast in which multiple copies of a synthetic gene encoding ISP type III HPLC 12 has been inserted into the yeast genome.The ISP produced in the recombinant yeast strain is, however, a mixture of unglycosylated (60 %) and glycosylated (40 %) protein. However only the unglycosylated ISP is able to bind to ice crystals and alter the ice structure.",24128,RF-00009507-PAR,Ice Structuring Protein type III HPLC 12,complex product: microorganisms or derived from microorganisms,7,QU07A,as such,,Ice Structuring Protein type III HPLC 12,,,,24128,RF-00009507-PAR,Ice Structuring Protein type III HPLC 12,,,,protein,,,
